resolution,number_of_outputs,layer2_output_size,sparsity,layer2_sparsity,raw_test_acc,sparse_test_acc,layer2_test_acc,both_test_acc,filter_similarity,sta_similarity,digit_selectivity,layer2_digit_selectivity,rf_top10_energy,layer2_rf_top10_energy
14,64,64,0.11303638644687429,0.1407885306190235,0.8799999952316284,0.8360000252723694,0.7599999904632568,0.828000009059906,0.9449368787111493,0.8871923976211366,2.8028473323824272,1.7114666508376422,0.4800326299007649,0.41922216437923676
14,128,128,0.10559516060155436,0.14040838890244545,0.8799999952316284,0.8709999918937683,0.7979999780654907,0.8730000257492065,0.9616558311614568,0.9124204454778275,2.4601806739840946,1.5355143789458485,0.46041305784052944,0.413176504255724
10,64,64,0.1063053902559686,0.14038264705868417,0.8529999852180481,0.7770000100135803,0.7179999947547913,0.7900000214576721,0.9491088402216695,0.899523313237326,2.4879282151752267,1.5923714031442966,0.4746113663689232,0.4097393075723159
10,128,128,0.1025167195806999,0.13877795210780328,0.8529999852180481,0.8259999752044678,0.7620000243186951,0.8029999732971191,0.9674356668355589,0.9345592591680306,2.1584800141097547,1.4383677606088032,0.4491571974636441,0.4050497762515368
