resolution,number_of_outputs,layer2_output_size,sparsity,layer2_sparsity,raw_test_acc,sparse_test_acc,layer2_test_acc,both_test_acc,filter_similarity,sta_similarity,digit_selectivity,layer2_digit_selectivity,rf_top10_energy,layer2_rf_top10_energy
14,64,32,0.09985416666666666,0.13925,0.8799999952316284,0.7799999713897705,0.621999979019165,0.7670000195503235,0.8824951111924517,0.7630323337617947,3.8309092272386014,2.869819000480728,0.5337264045882837,0.5008486619102639
14,128,64,0.09237239583333333,0.129625,0.8799999952316284,0.8069999814033508,0.6420000195503235,0.7910000085830688,0.9210996532187098,0.7670471040182683,3.76178462514101,2.9719663105794907,0.5260981093427904,0.4827632616807082
10,64,32,0.09371354166666666,0.13260416666666666,0.8489999771118164,0.6869999766349792,0.5490000247955322,0.6919999718666077,0.8987896671039649,0.7639768360973674,3.5305002164361525,2.764741665998667,0.5376950852022258,0.5037516042681653
10,128,64,0.09722395833333333,0.12175520833333334,0.8489999771118164,0.7289999723434448,0.5709999799728394,0.7170000076293945,0.9336895168279995,0.5150246535192854,3.2163565158612952,2.845865864104951,0.4390760933208346,0.4807425189877611
