name,sparsity,rf_concentration,rf_concentration_sem,mean_cosine,mean_cosine_sem,nn90_cosine,nn90_cosine_sem,output_corr,dead_units
N144_size16,0.005057750269770622,0.56173325,0.011014122515916824,0.14335984,0.003522716462612152,0.9321709275245667,0.007565523319097903,0.007843659357495054,0
N2048_size16,0.005007345229387283,0.616078,0.003099470019868035,0.12574248,0.0006290163189025043,0.844270521402359,0.002345206926633439,0.008669141013460795,0
Bruno_N256,nan,0.9057755,0.007516179699450731,0.026607294,0.0004968935973010957,0.4116789698600769,0.006822915789587605,nan,nan
Bruno_N2048,nan,0.8702701,0.0032023419160045236,0.039843623,0.00023592365230287266,0.6168555617332458,0.001827430480879065,nan,nan
